"filename", "language", "JSON", "HTML", "JavaScript", "Markdown", "JavaScript JSX", "PostCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\pages\auth\Navigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 2, 8, 192
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\pages\auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 150, 0, 0, 0, 0, 10, 160
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\api\CategorySlice.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\api\ProductApiSlice.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 6, 92
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\api\apiSlice.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\api\userApiSlice.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 3, 81
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\features\auth\authSlice.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\features\constants.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\src\redux\features\store.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\frontend\vite.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\package-lock.json", "JSON", 2069, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2070
"c:\Users\rehan\OneDrive\Documents\projects\E_COMMERENCE WEBSITE USING MERN__STACK\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"Total", "-", 6321, 13, 994, 7, 1590, 28, 1, 4, 24, 300, 9282
